Index,Country Code,Country or area,City Code,Urban Agglomeration,Note,Latitude,Longitude,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
1,4,Afghanistan,20001,Herat,,34.34817,62.19967,82.468,83.114,83.767,84.422,85.084,85.751,86.424,87.101,87.783,88.472,89.166,89.864,90.568,91.278,91.995,92.715,93.441,94.878,97.063,99.292,101.576,103.912,107.154,111.371,115.76,120.323,125.071,129.994,135.117,140.398,143.859,147.396,151.025,154.744,158.559,162.457,166.457,170.555,174.76,179.057,183.465,187.983,192.617,197.353,202.212,207.19,212.299,217.518,222.874,228.361,233.991,239.744,245.647,251.695,261.559,275.678,290.58,306.287,322.868,340.296,358.691,378.081,398.548,420.061,442.768,466.703,491.967,518.599,546.672,575.806,605.575,635.579,665.477,695.043,724.172,752.91,781.38,809.8,838.394,867.422,897.041,927.393,958.549,990.635,1023.636,1057.573
2,4,Afghanistan,20002,Kabul,,34.528887,69.17246,170.784,179.779,189.26,199.213,209.705,220.749,232.391,244.613,257.496,271.057,285.352,300.359,316.177,332.829,350.382,368.809,388.232,408.087,428.363,449.585,471.891,495.303,528.508,573.161,621.656,674.254,731.385,793.178,860.289,932.388,977.824,1025.339,1075.233,1127.555,1182.5,1239.961,1300.299,1358.525,1419.444,1482.916,1549.32,1618.697,1691.283,1766.91,1846.031,1928.694,2015.181,2105.292,2199.565,2298.059,2401.109,2508.477,2620.804,2738.161,2834.061,2905.178,2978.181,3053.018,3129.844,3208.383,3289.005,3371.653,3456.496,3543.232,3632.269,3723.543,3817.241,3913.297,4011.77,4114.03,4221.532,4335.77,4457.882,4588.666,4728.384,4877.024,5034.106,5199.155,5371.55,5551.063,5737.138,5929.531,6127.953,6332.756,6543.594,6760.5
3,4,Afghanistan,20003,Kandahar,,31.61332,65.71013,82.199,83.663,85.155,86.67,88.214,89.785,91.387,93.012,94.669,96.355,98.074,99.818,101.596,103.406,105.25,107.123,109.031,112.297,117.055,122.002,127.164,132.545,137.853,143.036,148.423,154.012,159.819,165.829,172.074,178.504,182.904,187.399,192.012,196.738,201.587,206.542,211.626,216.834,222.179,227.64,233.243,238.983,244.874,250.893,257.068,263.395,269.887,276.521,283.327,290.3,297.456,304.767,312.268,319.954,328.115,336.746,345.617,354.721,364.078,373.655,383.498,393.6,403.983,414.61,425.532,436.741,448.262,460.087,472.224,484.812,498.002,511.949,526.775,542.565,559.349,577.128,595.853,615.48,635.944,657.23,679.278,702.066,725.563,749.814,774.779,800.461
4,4,Afghanistan,20004,Mazar-e Sharif,,36.70904,67.11087,30.0,31.308,32.676,34.099,35.586,37.139,38.761,40.449,42.213,44.054,45.979,47.981,50.074,52.258,54.541,56.916,59.399,61.989,64.697,67.515,70.46,73.533,76.745,80.087,83.58,87.226,91.036,95.001,99.144,103.427,105.977,108.583,111.256,113.995,116.805,119.677,122.623,125.642,128.74,131.905,135.153,138.48,141.894,145.383,148.962,152.629,156.392,160.237,164.182,168.224,172.372,176.61,180.958,185.413,193.721,206.403,219.935,234.353,249.739,266.088,283.532,302.12,321.955,343.032,365.52,389.483,415.053,442.302,471.339,501.665,532.689,563.825,594.551,624.5,653.486,681.531,708.798,735.572,762.162,788.909,816.04,843.747,872.137,901.348,931.381,962.262
5,8,Albania,20005,Tiranë (Tirana),,41.3275,19.81889,84.513,88.866,93.08,97.481,102.097,106.932,112.001,117.295,122.847,128.662,134.761,137.714,139.561,141.434,143.334,145.255,147.203,149.178,151.183,153.497,156.734,160.04,163.42,166.862,170.381,173.975,177.649,181.391,185.217,189.123,193.644,198.261,202.994,207.84,212.809,217.882,223.084,228.41,233.87,239.852,247.27,254.918,262.814,270.931,279.311,287.95,296.869,306.038,315.503,325.262,335.336,344.7,351.285,357.995,364.843,371.803,378.905,386.143,393.529,401.036,408.697,416.504,424.471,432.59,440.865,449.298,457.892,466.651,475.577,484.624,493.712,502.734,511.559,520.059,528.127,535.702,542.74,549.219,555.132,560.491,565.301,569.577,573.332,576.588,579.349,581.626
6,12,Algeria,20009,Annaba,,36.9,7.76667,99.741,102.878,106.118,109.451,112.893,116.444,120.111,123.884,127.78,131.799,135.95,140.219,144.629,149.178,153.876,158.709,164.035,170.634,177.507,184.637,192.064,199.79,207.838,216.186,224.882,233.928,243.351,251.271,256.377,261.587,266.91,272.327,277.861,283.508,289.277,295.148,301.146,306.152,308.383,310.624,312.885,315.162,317.459,319.766,322.093,324.437,326.801,329.176,331.554,332.677,333.805,334.933,336.067,337.205,338.348,339.492,340.641,341.794,342.953,344.113,345.278,346.446,347.618,348.794,349.974,351.158,352.346,353.537,354.733,356.22,358.241,360.968,364.484,368.782,373.779,379.346,385.315,391.52,397.814,404.101,410.307,416.393,422.336,428.151,433.842,439.473
7,12,Algeria,20011,Batna,,35.55597,6.17414,13.046,14.306,15.689,17.201,18.862,20.683,22.683,24.869,27.27,29.903,32.794,35.956,39.427,43.234,47.414,51.985,56.513,59.786,63.254,66.912,70.787,74.887,79.231,83.813,88.667,93.803,99.243,104.986,111.077,117.52,124.347,131.55,139.181,147.255,155.81,164.835,174.397,182.922,187.685,192.56,197.568,202.706,207.985,213.387,218.937,224.63,230.481,236.467,242.569,245.948,249.379,252.848,256.37,259.941,263.567,267.234,270.956,274.73,278.563,282.438,286.372,290.361,294.406,298.506,302.664,306.88,311.155,315.489,319.884,324.466,329.333,334.548,340.12,346.016,352.163,358.478,364.859,371.217,377.479,383.613,389.593,395.414,401.077,406.607,412.015,417.363
8,12,Algeria,20015,Blida,,36.480781,2.831943,33.97,36.092,38.349,40.742,43.286,45.99,48.867,51.915,55.158,58.603,62.269,66.153,70.286,74.676,79.347,84.296,89.114,92.734,96.505,100.419,104.497,108.741,113.164,117.754,122.536,127.513,132.699,137.181,140.321,143.534,146.825,150.182,153.62,157.138,160.74,164.415,168.18,172.562,178.464,184.55,190.852,197.369,204.119,211.08,218.288,225.742,233.462,241.423,249.652,257.015,264.604,272.397,280.43,288.699,297.225,305.978,315.001,324.29,333.867,343.699,353.834,364.269,375.012,386.071,397.457,409.179,421.246,433.669,446.458,459.523,472.733,485.938,498.969,511.672,523.92,535.641,546.792,557.375,567.423,577.01,586.199,595.053,603.617,611.957,620.102,628.153
9,12,Algeria,20006,El Djazaïr  (Algiers),1,36.7525,3.04197,516.45,533.74,551.632,570.074,589.158,622.921,666.263,712.489,761.992,814.934,871.636,913.806,953.095,994.074,1036.876,1081.394,1125.264,1162.355,1200.723,1240.246,1281.127,1323.356,1367.038,1412.036,1458.58,1506.658,1556.39,1591.631,1601.502,1611.434,1621.442,1631.484,1641.602,1651.783,1662.042,1672.335,1682.707,1699.125,1731.209,1763.809,1797.068,1830.955,1865.529,1900.658,1936.498,1973.014,2010.271,2048.125,2086.577,2113.386,2140.577,2168.042,2195.898,2224.112,2252.728,2281.632,2310.947,2340.639,2370.754,2401.172,2432.023,2463.271,2494.92,2526.977,2559.445,2592.33,2625.638,2659.373,2693.542,2729.325,2767.661,2809.158,2853.959,2901.81,2952.115,3004.133,3056.974,3109.831,3162.044,3213.279,3263.293,3312.019,3359.437,3405.751,3451.041,3495.835
10,12,Algeria,20020,El Djelfa,,34.67279,3.263,10.45,11.061,11.708,12.392,13.117,13.884,14.697,15.555,16.465,17.427,18.448,19.525,20.667,21.875,23.156,24.509,25.942,27.459,29.067,30.764,32.563,34.467,36.486,38.616,40.875,43.265,45.798,48.473,51.307,54.308,57.488,60.845,64.403,68.169,72.161,76.375,80.841,85.554,90.509,95.737,101.274,107.132,113.337,119.883,126.817,134.151,141.922,150.119,158.793,167.379,176.441,185.967,196.022,206.62,217.807,229.567,241.979,255.062,268.872,283.388,298.71,314.86,331.883,349.827,368.74,388.677,409.691,431.841,455.189,479.24,503.397,527.033,549.565,570.543,589.697,606.968,622.45,636.362,648.976,660.591,671.455,681.764,691.652,701.238,710.582,719.812
11,12,Algeria,20019,Qacentina,,36.354921,6.607293,88.001,93.924,100.254,106.992,114.193,121.878,130.092,138.835,148.179,158.152,168.811,180.156,192.281,205.222,219.053,233.775,247.49,255.393,263.56,271.965,280.65,289.613,298.874,308.405,318.254,328.417,338.92,348.84,357.584,366.548,375.749,385.155,394.81,404.707,414.866,425.251,435.911,444.581,447.623,450.678,453.758,456.859,459.985,463.124,466.289,469.476,472.689,475.914,479.077,475.808,472.556,469.336,466.133,462.952,459.789,456.656,453.539,450.444,447.366,444.318,441.286,438.274,435.283,432.312,429.361,426.43,423.52,420.629,417.758,415.411,414.011,413.86,415.11,417.768,421.714,426.746,432.6,439.008,445.725,452.576,459.425,466.189,472.821,479.322,485.69,491.992
12,12,Algeria,20037,Sétif,,36.19112,5.41373,41.289,43.327,45.468,47.709,50.063,52.534,55.13,57.847,60.702,63.698,66.846,70.14,73.602,77.234,81.051,85.045,88.971,92.189,95.529,98.979,102.559,106.269,110.118,114.096,118.223,122.499,126.937,131.088,134.656,138.322,142.093,145.955,149.928,154.01,158.208,162.509,166.933,171.118,174.483,177.904,181.397,184.959,188.595,192.293,196.069,199.918,203.849,207.846,211.921,215.716,219.584,223.51,227.512,231.586,235.739,239.954,244.251,248.624,253.082,257.608,262.221,266.916,271.695,276.56,281.511,286.552,291.682,296.905,302.221,307.703,313.401,319.333,325.482,331.801,338.221,344.671,351.073,357.365,363.5,369.467,375.258,380.881,386.343,391.672,396.882,402.034
13,12,Algeria,20035,Wahran (Oran),,35.69111,-0.64167,268.935,272.335,275.782,279.263,282.793,286.368,289.993,293.653,297.365,301.124,304.936,308.785,312.689,316.641,320.649,324.697,330.827,343.652,356.993,370.813,385.189,400.121,415.655,431.746,448.483,465.87,483.955,499.928,511.846,524.049,536.561,549.335,562.432,575.841,589.589,603.626,618.017,631.029,639.876,648.822,657.905,667.116,676.469,685.927,695.53,705.268,715.155,725.154,735.257,741.94,748.693,755.489,762.356,769.286,776.288,783.334,790.454,797.639,804.9,812.206,819.588,827.038,834.556,842.142,849.797,857.521,865.316,873.182,881.119,889.644,899.182,910.03,922.302,935.947,950.768,966.494,982.784,999.314,1015.811,1032.11,1048.089,1063.698,1078.908,1093.775,1108.317,1122.702
14,24,Angola,895000001,Benguela,2,-12.576,13.405,14.364,15.042,15.752,16.493,17.27,18.085,18.938,19.83,20.764,21.743,22.77,23.968,25.366,26.845,28.412,30.067,31.82,33.676,35.642,37.718,39.917,43.393,48.257,53.65,59.655,66.332,73.767,82.012,91.191,101.397,112.763,125.366,139.398,155.0,161.548,168.354,175.456,182.858,190.584,198.612,206.991,215.724,224.837,234.309,244.194,254.496,265.248,276.422,288.084,300.237,312.921,326.104,339.862,354.199,369.163,384.715,400.945,417.86,435.513,453.861,473.008,492.963,513.789,535.434,558.022,581.564,606.133,631.668,658.317,686.121,715.13,745.372,776.832,809.468,843.207,878.004,913.769,950.447,987.971,1026.364,1065.572,1105.588,1146.377,1188.018,1230.439,1273.636
15,24,Angola,204043,Cabinda,3,-5.55,12.2,4.722,4.71,4.698,4.687,4.675,4.663,4.652,4.64,4.629,4.617,4.606,4.965,5.786,6.744,7.861,9.16,10.675,12.442,14.503,16.899,19.695,22.227,24.415,26.813,29.449,32.345,35.531,39.02,42.856,47.071,51.706,56.783,62.367,68.5,75.246,82.634,90.76,99.685,109.502,120.254,132.079,145.067,159.353,175.0,184.954,195.473,206.607,218.342,230.761,243.886,257.777,272.418,287.913,304.289,321.62,339.887,359.219,379.651,401.275,424.067,448.187,473.678,500.658,529.094,559.188,590.993,624.655,660.134,697.681,736.984,777.697,819.452,861.878,904.676,947.634,990.695,1033.86,1077.231,1120.931,1165.172,1210.051,1255.676,1302.086,1349.417,1397.614,1446.685
16,24,Angola,895000011,Cuito,,-12.383,16.933,8.632,8.97,9.322,9.686,10.066,10.46,10.87,11.295,11.738,12.197,12.676,13.171,13.687,14.223,14.781,15.359,15.96,16.585,17.236,17.91,18.611,19.648,21.022,22.489,24.06,25.741,27.542,29.463,31.522,33.724,36.084,38.601,41.298,44.183,47.274,50.572,54.105,57.886,61.935,66.256,70.885,75.838,81.143,86.804,92.869,99.357,106.308,113.725,121.67,130.171,139.278,148.994,159.404,170.54,182.472,195.202,208.84,223.43,239.062,255.74,273.607,292.722,313.202,335.053,358.461,383.504,410.336,438.963,469.63,501.936,535.407,569.533,603.814,637.853,671.387,704.349,736.784,768.859,800.779,832.81,865.116,897.85,931.086,964.954,999.427,1034.52
17,24,Angola,20050,Huambo,4,-12.77611,15.73917,15.306,16.721,18.27,19.957,21.802,23.818,26.024,28.427,31.056,33.927,37.069,39.664,41.575,43.577,45.678,47.875,50.18,52.597,55.133,57.785,60.567,65.148,71.629,78.734,86.556,95.155,104.621,115.0,126.424,138.984,152.811,167.969,184.656,203.0,217.267,232.492,248.809,266.27,284.983,304.954,326.355,349.259,373.804,400.0,407.692,415.532,423.534,431.668,439.969,448.43,457.066,465.843,474.801,483.932,493.251,502.724,512.391,522.245,532.302,542.524,552.957,563.591,574.444,585.476,596.735,608.21,619.923,631.828,643.978,656.977,671.413,687.795,706.476,727.641,751.297,777.336,805.507,835.521,867.065,899.922,933.847,968.691,1004.327,1040.766,1077.913,1115.75
18,24,Angola,895000000,Lobito,5,-12.364,13.536,23.027,24.801,26.714,28.769,30.986,33.373,35.947,38.713,41.695,44.907,48.371,50.63,51.504,52.394,53.3,54.219,55.155,56.107,57.077,58.061,59.064,61.956,66.7,71.793,77.283,83.193,89.563,96.402,103.774,111.709,120.263,129.446,139.345,150.0,154.292,158.694,163.228,167.892,172.696,177.623,182.698,187.918,193.295,198.81,204.49,210.333,216.351,222.523,228.881,235.421,242.157,249.066,256.182,263.502,271.041,278.774,286.739,294.932,303.371,312.026,320.941,330.111,339.556,349.245,359.223,369.487,380.058,390.902,402.071,413.795,426.31,439.82,454.464,470.316,487.368,505.576,524.828,545.002,565.963,587.634,609.908,632.725,656.029,679.842,704.111,728.829
19,24,Angola,20049,Luanda,6,-8.83682,13.23432,138.413,144.939,151.782,158.928,166.422,174.268,182.497,191.089,200.099,209.533,219.427,233.134,251.373,271.039,292.274,315.108,339.76,366.341,395.043,425.905,459.225,488.59,514.05,540.761,568.901,598.504,629.692,662.412,696.882,733.145,771.349,811.43,853.654,898.124,964.072,1034.661,1110.527,1191.955,1279.479,1373.162,1473.848,1581.917,1698.075,1822.407,1940.528,2066.306,2200.426,2342.847,2494.701,2656.398,2828.82,3011.913,3207.133,3415.007,3636.67,3872.05,4123.021,4390.259,4675.223,4977.823,5300.466,5644.022,6010.365,6399.381,6789.357,7023.206,7265.449,7515.345,7774.2,8044.735,8329.798,8631.876,8952.496,9292.336,9651.032,10027.897,10421.27,10829.513,11250.806,11684.375,12128.764,12583.262,13047.054,13520.789,14003.51,14495.112
20,24,Angola,204044,Lubango,7,-14.91717,13.4925,11.555,11.846,12.146,12.453,12.767,13.09,13.421,13.76,14.107,14.464,14.83,15.588,16.801,18.109,19.521,21.039,22.677,24.442,26.347,28.395,30.606,33.11,35.935,38.991,42.313,45.917,49.834,54.073,58.679,63.678,69.11,74.988,81.376,88.308,95.841,103.993,112.852,122.465,132.912,144.217,156.502,169.834,184.321,200.0,210.821,222.227,234.267,246.924,260.283,274.366,289.231,304.857,321.351,338.737,357.09,376.382,396.746,418.211,440.87,464.689,489.83,516.332,544.306,573.714,604.754,637.473,672.011,708.318,746.64,786.713,828.248,870.935,914.456,958.548,1003.016,1047.806,1092.9,1138.376,1184.324,1230.933,1278.271,1326.432,1375.44,1425.431,1476.341,1528.175
21,24,Angola,895000004,Malanje,8,-9.54,16.341,9.176,9.834,10.541,11.296,12.107,12.976,13.909,14.906,15.976,17.122,18.353,19.49,20.512,21.587,22.72,23.91,25.163,26.482,27.872,29.331,30.869,32.672,34.75,36.953,39.299,41.795,44.452,47.271,50.272,53.464,56.864,60.469,64.309,68.392,72.741,77.354,82.265,87.489,93.052,98.952,105.235,111.917,119.033,126.581,134.618,143.166,152.269,161.924,172.206,183.14,194.785,207.136,220.288,234.276,249.173,264.972,281.796,299.689,318.746,338.956,360.478,383.368,407.744,433.598,461.13,490.41,521.593,554.665,589.885,626.862,665.15,704.271,743.76,783.243,822.471,861.38,900.002,938.486,977.013,1015.839,1055.109,1094.963,1135.466,1176.754,1218.789,1261.582
22,24,Angola,895000012,Uige,,-7.1069,15.4406,3.201,3.414,3.642,3.884,4.143,4.418,4.713,5.027,5.362,5.719,6.1,6.506,6.939,7.401,7.895,8.42,8.981,9.579,10.218,10.898,11.624,12.475,13.46,14.519,15.663,16.898,18.231,19.666,21.216,22.888,24.694,26.638,28.737,31.002,33.449,36.082,38.925,41.993,45.307,48.873,52.725,56.88,61.37,66.199,71.417,77.045,83.126,89.668,96.735,104.359,112.596,121.457,131.03,141.357,152.513,164.516,177.482,191.47,206.582,222.84,240.402,259.349,279.819,301.84,325.629,351.293,379.019,408.848,441.071,475.198,510.631,546.706,582.775,618.313,652.976,686.667,719.452,751.551,783.239,814.852,846.615,878.725,911.289,944.45,978.196,1012.545
23,32,Argentina,20057,Bahia Blanca,,-38.7196,-62.27243,115.752,116.774,117.807,118.846,119.895,120.954,122.024,123.1,124.188,125.284,126.392,130.168,134.984,139.979,145.165,150.529,156.099,161.874,167.872,174.075,180.515,184.979,188.81,192.71,196.695,200.764,204.922,209.154,213.48,217.895,222.408,225.741,228.559,231.412,234.304,237.224,240.185,243.183,246.222,249.291,252.403,255.347,256.924,258.506,260.099,261.703,263.319,264.94,266.574,268.217,269.873,271.535,274.016,277.028,280.077,283.152,286.264,289.411,292.596,295.808,299.059,301.154,302.693,304.237,305.79,307.351,308.922,310.497,312.08,313.739,315.533,317.507,319.681,322.057,324.616,327.329,330.154,333.052,335.984,338.924,341.833,344.694,347.522,350.315,353.068,355.78
24,32,Argentina,20058,Buenos Aires,9,-34.605083,-58.400368,5166.14,5307.065,5452.036,5600.553,5753.328,5910.271,6071.72,6237.117,6407.257,6582.038,6761.837,6919.245,7071.464,7227.032,7386.244,7548.511,7714.574,7884.29,8057.981,8235.005,8416.17,8566.128,8707.088,8849.971,8995.4,9143.219,9293.676,9446.184,9601.411,9759.188,9919.781,10049.398,10165.869,10283.689,10403.04,10523.442,10645.407,10768.785,10893.766,11019.848,11147.566,11276.696,11407.033,11538.512,11671.691,11806.407,11942.867,12080.522,12219.957,12361.001,12503.871,12647.992,12808.282,12979.73,13153.713,13329.54,13507.965,13688.779,13872.267,14057.699,14245.871,14364.449,14449.088,14533.991,14619.51,14705.533,14792.181,14879.1,14966.53,15057.273,15153.729,15257.673,15369.919,15490.415,15618.288,15752.275,15890.628,16031.641,16173.701,16315.759,16456.115,16593.948,16730.161,16864.622,16997.163,17127.741
25,32,Argentina,20059,Córdoba,10,-31.4135,-64.18105,429.249,444.257,459.811,475.865,492.502,509.722,527.568,545.987,565.076,584.833,605.309,623.915,642.256,661.137,680.601,700.581,721.176,742.377,764.232,786.668,809.794,829.163,847.518,866.227,885.376,904.947,924.98,945.399,966.297,987.658,1009.521,1028.459,1046.255,1064.359,1082.802,1101.512,1120.572,1139.962,1159.715,1179.754,1200.168,1219.976,1233.55,1247.237,1261.096,1275.108,1289.296,1303.602,1318.087,1332.732,1347.561,1362.514,1374.616,1384.923,1395.322,1405.769,1416.31,1426.929,1437.643,1448.408,1459.268,1470.13,1481.051,1492.023,1503.091,1514.241,1525.49,1536.791,1548.176,1559.84,1571.944,1584.599,1597.844,1611.651,1625.937,1640.599,1655.498,1670.505,1685.5,1700.412,1715.096,1729.489,1743.698,1757.717,1771.533,1785.143
26,32,Argentina,20063,Corrientes,11,-27.4806,-58.8341,64.256,66.925,69.708,72.598,75.613,78.753,82.028,85.429,88.977,92.672,96.526,100.022,103.476,107.05,110.752,114.571,118.528,122.622,126.862,131.237,135.77,139.783,143.689,147.693,151.815,156.052,160.413,164.884,169.485,174.215,179.084,184.858,191.19,197.739,204.522,211.517,218.763,226.256,234.017,242.022,250.312,258.418,263.543,268.755,274.078,279.506,285.049,290.687,296.444,302.315,308.31,314.408,319.446,323.816,328.252,332.736,337.287,341.901,346.585,351.319,356.125,360.996,365.941,370.94,376.014,381.158,386.379,391.657,397.007,402.381,407.725,412.989,418.126,423.104,427.904,432.527,436.98,441.281,445.447,449.505,453.448,457.282,461.052,464.764,468.419,472.019
27,32,Argentina,20065,La Plata,12,-34.92145,-57.95453,299.505,308.388,317.548,326.954,336.652,346.637,356.933,367.505,378.406,389.63,401.203,409.756,417.38,425.146,433.068,441.115,449.323,457.684,466.212,474.874,483.711,491.419,498.826,506.324,513.944,521.68,529.543,537.502,545.592,553.804,562.151,569.403,576.217,583.112,590.099,597.15,604.295,611.526,618.854,626.249,633.742,640.837,644.68,648.536,652.421,656.329,660.265,664.215,668.193,672.195,676.227,680.272,688.767,700.166,711.771,723.535,735.51,747.684,760.076,772.639,785.427,795.883,805.264,814.729,824.318,834.021,843.851,853.77,863.806,873.918,884.054,894.159,904.17,914.036,923.715,933.193,942.456,951.508,960.357,969.028,977.488,985.735,993.853,1001.852,1009.729,1017.488
28,32,Argentina,20067,Mar Del Plata,,-38.00228,-57.55754,132.415,138.597,145.075,151.838,158.926,166.345,174.121,182.237,190.744,199.648,208.981,217.114,225.023,233.22,241.727,250.52,259.646,269.105,278.921,289.067,299.597,309.498,319.393,329.576,340.098,350.956,362.177,373.724,385.656,397.968,410.692,420.856,429.947,439.235,448.737,458.418,468.321,478.438,488.788,499.332,510.119,519.971,522.031,524.094,526.167,528.249,530.342,532.437,534.544,536.658,538.785,540.913,546.045,553.113,560.282,567.524,574.87,582.311,589.858,597.483,605.216,611.617,617.403,623.227,629.115,635.058,641.065,647.113,653.218,659.41,665.707,672.116,678.623,685.206,691.831,698.471,705.089,711.659,718.154,724.569,730.858,737.007,743.068,749.045,754.934,760.734
29,32,Argentina,20068,Mendoza,13,-32.89084,-68.82717,245.797,253.018,260.461,268.103,275.979,284.087,292.444,301.024,309.867,318.971,328.355,339.981,352.723,365.943,379.678,393.888,408.651,423.967,439.88,456.343,473.447,486.763,498.966,511.442,524.246,537.372,550.845,564.617,578.753,593.243,608.116,622.175,636.054,650.243,664.768,679.577,694.736,710.234,726.099,742.274,758.832,774.437,781.303,788.21,795.189,802.228,809.34,816.496,823.724,831.017,838.384,845.796,857.729,872.648,887.847,903.268,918.979,934.963,951.247,967.769,984.602,1001.973,1019.796,1037.886,1056.322,1075.085,1094.209,1113.619,1133.373,1153.152,1172.619,1191.47,1209.458,1226.427,1242.319,1257.182,1271.117,1284.268,1296.783,1308.814,1320.409,1331.632,1342.635,1353.455,1364.102,1374.585
30,32,Argentina,20070,Neuquén-Plottier-Cipolletti,,-38.95143,-68.064809,13.911,15.325,16.886,18.6,20.492,22.575,24.874,27.399,30.185,33.255,36.641,39.306,41.799,44.451,47.275,50.269,53.458,56.849,60.46,64.29,68.369,73.091,78.285,83.832,89.78,96.15,102.983,110.279,118.104,126.485,135.472,143.575,151.468,159.796,168.594,177.85,187.628,197.944,208.842,220.308,232.421,244.047,248.227,252.467,256.786,261.178,265.651,270.189,274.81,279.51,284.298,289.154,294.256,299.546,304.939,310.414,315.995,321.676,327.468,333.347,339.34,345.658,352.206,358.861,365.651,372.569,379.627,386.8,394.109,401.423,408.609,415.545,422.131,428.308,434.053,439.389,444.357,449.018,453.432,457.66,461.726,465.656,469.506,473.291,477.014,480.68
31,32,Argentina,20072,Posadas,,-27.36708,-55.89608,45.612,47.815,50.127,52.544,55.082,57.742,60.535,63.454,66.518,69.73,73.103,75.514,77.631,79.807,82.047,84.343,86.707,89.137,91.639,94.204,96.844,100.386,104.35,108.458,112.734,117.179,121.805,126.601,131.593,136.781,142.181,147.546,153.013,158.682,164.57,170.658,176.981,183.539,190.349,197.391,204.705,212.027,217.787,223.687,229.755,235.988,242.399,248.966,255.72,262.657,269.792,277.101,282.521,286.724,290.995,295.318,299.711,304.17,308.701,313.287,317.948,323.924,330.63,337.456,344.433,351.554,358.832,366.24,373.801,381.367,388.782,395.909,402.635,408.892,414.66,419.963,424.853,429.401,433.678,437.753,441.659,445.426,449.112,452.734,456.296,459.803
32,32,Argentina,20073,Resistencia,14,-27.46056,-58.98389,72.574,75.275,78.081,80.983,83.998,87.124,90.372,93.731,97.22,100.839,104.597,107.975,111.292,114.711,118.24,121.868,125.612,129.471,133.454,137.549,141.774,147.531,154.018,160.771,167.83,175.199,182.902,190.921,199.304,208.055,217.203,224.16,230.171,236.344,242.692,249.191,255.875,262.737,269.793,277.019,284.448,291.838,297.773,303.812,309.982,316.277,322.71,329.254,335.941,342.764,349.735,356.828,361.334,364.181,367.054,369.943,372.857,375.795,378.76,381.741,384.749,388.817,393.437,398.099,402.822,407.602,412.445,417.332,422.277,427.259,432.25,437.222,442.144,446.991,451.741,456.388,460.926,465.359,469.69,473.933,478.071,482.105,486.076,489.988,493.841,497.635
33,32,Argentina,20075,Rosario,15,-32.94682,-60.63932,554.483,565.188,576.115,587.223,598.56,610.116,621.912,633.903,646.141,658.616,671.349,684.514,698.031,711.815,725.89,740.204,754.821,769.726,784.946,800.424,816.23,829.78,842.708,855.801,869.116,882.638,896.39,910.317,924.48,938.864,953.491,966.498,978.879,991.42,1004.139,1016.985,1030.014,1043.209,1056.592,1070.11,1083.819,1096.683,1102.744,1108.822,1114.943,1121.096,1127.293,1133.506,1139.762,1146.053,1152.387,1158.739,1171.926,1189.556,1207.477,1225.617,1244.056,1262.772,1281.795,1301.052,1320.626,1340.493,1360.688,1381.13,1401.908,1422.998,1444.436,1466.136,1488.162,1510.253,1532.128,1553.53,1574.235,1594.096,1613.041,1631.093,1648.317,1664.817,1680.705,1696.108,1711.036,1725.53,1739.766,1753.778,1767.572,1781.154
